iter	Logloss
0	0.6812737485
1	0.6702691165
2	0.6624847558
3	0.6533790957
4	0.6445031096
5	0.6353872514
6	0.6275779452
7	0.6190801919
8	0.6121040535
9	0.6054814784
10	0.598815494
11	0.591528509
12	0.5840477507
13	0.5773999388
14	0.5716231741
15	0.5655721583
16	0.5599305836
17	0.554971925
18	0.5504578343
19	0.5462744617
20	0.5419586121
21	0.5384189757
22	0.5338619408
23	0.5299588288
24	0.5260368226
25	0.52261165
26	0.5199757186
27	0.5167343816
28	0.5138515584
29	0.5105050631
30	0.5079896652
31	0.5056335837
32	0.5031688822
33	0.4998466807
34	0.4979053384
35	0.4956707088
36	0.4931919829
37	0.4912516624
38	0.4892082038
39	0.4872155375
40	0.4855246194
41	0.4839292684
42	0.4814741553
43	0.4799050252
44	0.4783698817
45	0.4768601435
46	0.4753792348
47	0.4739618739
48	0.4726388013
49	0.471136295
50	0.4695499204
51	0.4679315262
52	0.4665217133
53	0.4652716251
54	0.4640585213
55	0.4625755821
56	0.4615462533
57	0.4603989976
58	0.4595571813
59	0.4588036504
60	0.4578629272
61	0.4570044649
62	0.455798067
63	0.4548674169
64	0.4538306044
65	0.4527886752
66	0.4521548786
67	0.4514955941
68	0.4507657173
69	0.4495889936
70	0.4488977959
71	0.448178478
72	0.4474113139
73	0.4466064639
74	0.4457993962
75	0.4451231927
76	0.4444470407
77	0.4436129043
78	0.4430791578
79	0.4417367208
80	0.4409332446
81	0.4405790242
82	0.4399669593
83	0.439409894
84	0.438937671
85	0.4384116334
86	0.4378558192
87	0.4372818836
88	0.4368518854
89	0.4362805141
90	0.4359054246
91	0.4355152801
92	0.4348120199
93	0.4342467147
94	0.4337540176
95	0.4333140908
96	0.4328228901
97	0.4323923058
98	0.4318939553
99	0.4315701106
100	0.4311692324
101	0.4307917419
102	0.430454041
103	0.4293547091
104	0.428966626
105	0.4287438896
106	0.4283895833
107	0.4280804033
108	0.4276010848
109	0.4271495758
110	0.4265646599
111	0.4264549076
112	0.4260509611
113	0.4255265038
114	0.4252088576
115	0.4247681173
116	0.4245081573
117	0.4239559528
118	0.4234407221
119	0.4232346675
120	0.4229795558
121	0.421863232
122	0.4215505225
123	0.4211837238
124	0.4208525556
125	0.4203068522
126	0.4200719215
127	0.4198766429
128	0.4195375182
129	0.4193217291
130	0.4190557159
131	0.4187166021
132	0.418403238
133	0.4180653819
134	0.4177645774
135	0.4169271279
136	0.4166765887
137	0.4164541818
138	0.416036111
139	0.4158598528
140	0.4156754786
141	0.4154226327
142	0.4151956924
143	0.4148543378
144	0.4146463271
145	0.4144123241
146	0.4141133876
147	0.4139886989
148	0.4137729718
149	0.4134720261
150	0.4131513786
151	0.4130011904
152	0.4126908356
153	0.4124965825
154	0.4123049479
155	0.4120864383
156	0.4118682012
157	0.4117282772
158	0.4115215659
159	0.4112752061
160	0.4111521184
161	0.410926972
162	0.4106186231
163	0.4104045058
164	0.4101221413
165	0.4099544918
166	0.4095856368
167	0.4092277332
168	0.4088983917
169	0.408463902
170	0.4083358211
171	0.4081541183
172	0.4074487952
173	0.4072653626
174	0.4071248217
175	0.4069617045
176	0.4067391667
177	0.4065921503
178	0.4064357257
179	0.4063153529
180	0.4057658186
181	0.4052890729
182	0.4049809187
183	0.4047118204
184	0.4045406525
185	0.4043903015
186	0.4042255486
187	0.4035170664
188	0.4034192235
189	0.4032235961
190	0.4028067574
191	0.4024406741
192	0.4023387853
193	0.402106673
194	0.4019095744
195	0.4012019182
196	0.4009784295
197	0.4007998199
198	0.4006421002
199	0.4001290216
200	0.3999514528
201	0.399300301
202	0.3991204148
203	0.398647664
204	0.3983926501
205	0.3982242546
206	0.3979110669
207	0.3978061564
208	0.3975372075
209	0.3974241363
210	0.3969980117
211	0.3966158237
212	0.3964399487
213	0.3962318677
214	0.3961039011
215	0.3959148097
216	0.3956933453
217	0.3955598925
218	0.3954333669
219	0.3953101627
220	0.395152318
221	0.3950493715
222	0.3947001667
223	0.3944335502
224	0.3939865093
225	0.3938167378
226	0.393301691
227	0.3931355787
228	0.3929568569
229	0.3928094279
230	0.3926388612
231	0.3925005213
232	0.3921090157
233	0.391653929
234	0.3914713126
235	0.3913311166
236	0.3911841512
237	0.3909432726
238	0.3907926918
239	0.3906826261
240	0.3904422835
241	0.3903445145
242	0.3901824286
243	0.3897584223
244	0.3894481311
245	0.3893557854
246	0.3892005064
247	0.3888111767
248	0.3886218363
249	0.3883791726
250	0.388289892
251	0.3881064028
252	0.3878779673
253	0.3876354052
254	0.3874168349
255	0.3871586209
256	0.3870146351
257	0.3868978086
258	0.3867141809
259	0.3865689954
260	0.3864362326
261	0.3862599387
262	0.3861352808
263	0.386041877
264	0.3858867693
265	0.3857228452
266	0.3856332846
267	0.3854556153
268	0.3854044737
269	0.3852485706
270	0.3851395814
271	0.3848264772
272	0.3846947956
273	0.3843540298
274	0.3842311254
275	0.3840814943
276	0.3839604938
277	0.383846135
278	0.3837521376
279	0.3836483685
280	0.3835683314
281	0.383451511
282	0.3832822139
283	0.3832149616
284	0.3830618775
285	0.3829292119
286	0.3828021255
287	0.3826288944
